 Ticker,SimFinId,Currency,  Fiscal Year  ,  Fiscal Period  ,  Report Date  ,  Publish Date  ,  Restated Date  ,  Shares (Basic)  ,  Shares (Diluted)  ,  Cash ,  Cash Equivalents & Short Term Investments  ,  Accounts & Notes Receivable  ,Inventories,  Total Current Assets  ,  Property , Plant & Equipment,  Net  ,  Long Term Investments & Receivables  ,  Other Long Term Assets  ,  Total Noncurrent Assets  ,  Total Assets  ,  Payables & Accruals  ,  Short Term Debt  ,  Total Current Liabilities  ,  Long Term Debt  ,  Total Noncurrent Liabilities  ,  Total Liabilities  ,  Share Capital & Additional Paid-In Capital  ,  Treasury Stock  ,  Retained Earnings  ,  Total Equity  ,  Total Liabilities & Equity   
AAPL,111052,USD,2000,Q4,2000-09-30,2000-12-21,2001-12-21,24208660000,24900176000,4027000000,953000000,33000000,5427000000,419000000,,957000000,1376000000,6803000000,1933000000,,1933000000,300000000,763000000,2696000000,1502000000,,2285000000,4107000000,6803000000,,,
AAPL,111052,USD,2001,Q4,2001-09-30,2001-11-11,2002-12-19,24208660000,24900176000,4336000000,466000000,11000000,5143000000,564000000,,314000000,878000000,6021000000,1518000000,,1518000000,317000000,583000000,2101000000,1693000000,,2260000000,3920000000,6021000000,,,
AAPL,111052,USD,2002,Q4,2002-09-30,2002-12-19,2003-12-19,24208660000,24900176000,4337000000,565000000,45000000,5388000000,621000000,,289000000,910000000,6298000000,1658000000,,1658000000,316000000,545000000,2203000000,1826000000,,2325000000,4095000000,6298000000,,,
AAPL,111052,USD,2003,Q4,2003-09-30,2003-12-19,2004-12-03,24208660000,24900176000,4566000000,766000000,56000000,5887000000,669000000,,259000000,928000000,6815000000,2053000000,304000000,2357000000,,235000000,2592000000,1926000000,,2394000000,4223000000,6815000000,,,
AAPL,111052,USD,2004,Q4,2004-09-30,2004-12-03,2005-12-01,24208660000,24900176000,5464000000,774000000,101000000,7055000000,707000000,,288000000,995000000,8050000000,2651000000,,2651000000,,323000000,2974000000,2514000000,,2670000000,5076000000,8050000000,,,
AAPL,111052,USD,2005,Q4,2005-09-30,2005-12-01,2006-12-29,24208660000,24900176000,8261000000,895000000,165000000,10300000000,817000000,,399000000,1216000000,11516000000,3487000000,,3487000000,,601000000,4088000000,3564000000,,3925000000,7428000000,11516000000,,,
AAPL,111052,USD,2006,Q4,2006-09-30,2006-12-29,2007-11-15,24208660000,24900176000,10110000000,1252000000,270000000,14509000000,1281000000,,1415000000,2696000000,17205000000,6443000000,,6443000000,,778000000,7221000000,4355000000,,5607000000,9984000000,17205000000,,,
AAPL,111052,USD,2007,Q4,2007-09-30,2007-11-15,2008-11-05,24208660000,24900176000,15386000000,1637000000,346000000,21956000000,1832000000,,1559000000,3391000000,25347000000,9280000000,,9280000000,,1535000000,10815000000,5368000000,,9101000000,14532000000,25347000000,,,
AAPL,111052,USD,2008,Q4,2008-09-30,2008-11-05,2009-10-27,24684576000,25259892000,22111000000,2422000000,509000000,32311000000,2455000000,2379000000,2427000000,7261000000,39572000000,9239000000,,14092000000,,4450000000,18542000000,7177000000,,13845000000,21030000000,39572000000,,,
AAPL,111052,USD,2009,Q4,2009-09-30,2009-10-25,2010-10-27,25004448000,25396140000,23464000000,3361000000,455000000,31555000000,2954000000,10528000000,2464000000,15946000000,47501000000,9453000000,,11506000000,,4355000000,15861000000,8210000000,,23353000000,31640000000,47501000000,,,
AAPL,111052,USD,2010,Q4,2010-09-30,2010-10-27,2011-10-26,25464908000,25891936000,25620000000,5510000000,1051000000,41678000000,4768000000,25391000000,3346000000,33505000000,75183000000,17738000000,,20722000000,,6670000000,27392000000,10668000000,,37169000000,47791000000,75183000000,,,
AAPL,111052,USD,2011,Q4,2011-09-30,2011-10-26,2012-10-31,25879224000,26226060000,25952000000,5369000000,776000000,44988000000,7777000000,55618000000,7988000000,71383000000,116371000000,23879000000,,27970000000,,11786000000,39756000000,13331000000,,62841000000,76615000000,116371000000,,,
AAPL,111052,USD,2012,Q4,2012-09-30,2012-10-31,2013-10-30,26174904000,26469932000,29129000000,10930000000,791000000,57653000000,15452000000,92122000000,10837000000,118411000000,176064000000,32589000000,,38542000000,0,19312000000,57854000000,16422000000,,101289000000,118210000000,176064000000,,,
AAPL,111052,USD,2013,Q4,2013-09-30,2013-10-30,2014-10-27,25909280000,26086536000,40546000000,13102000000,1764000000,73286000000,16597000000,106215000000,10902000000,133714000000,207000000000,36223000000,0,43658000000,16960000000,39793000000,83451000000,19764000000,,104256000000,123549000000,207000000000,,,
AAPL,111052,USD,2014,Q4,2014-09-30,2014-10-27,2015-10-28,24342288000,24490652000,25077000000,17460000000,2111000000,68531000000,20624000000,130162000000,12522000000,163308000000,231839000000,48649000000,6308000000,63448000000,28987000000,56844000000,120292000000,23313000000,,87152000000,111547000000,231839000000,,,
AAPL,111052,USD,2015,Q4,2015-09-30,2015-10-28,2016-10-26,23013684000,23172276000,41601000000,16849000000,2349000000,89378000000,22471000000,164065000000,14431000000,200967000000,290345000000,60671000000,10999000000,80610000000,53329000000,90380000000,170990000000,27416000000,,92284000000,119355000000,290345000000,,,
AAPL,111052,USD,2016,Q4,2016-09-30,2016-10-26,2017-11-03,21883280000,22001124000,67155000000,15754000000,2132000000,106869000000,27010000000,170430000000,17377000000,214817000000,321686000000,59321000000,11605000000,79006000000,75427000000,114431000000,193437000000,31251000000,,96364000000,128249000000,321686000000,,,
AAPL,111052,USD,2017,Q4,2017-09-30,2017-11-03,2018-11-05,20868968000,21006768000,74181000000,17874000000,4855000000,128645000000,33783000000,194714000000,18177000000,246674000000,375319000000,44242000000,18473000000,100814000000,97207000000,140458000000,241272000000,35867000000,,98330000000,134047000000,375319000000,,,
AAPL,111052,USD,2018,Q4,2018-09-30,2018-11-05,2019-10-31,19821508000,20000436000,66301000000,23186000000,3956000000,131339000000,41304000000,170799000000,22283000000,234386000000,365725000000,55888000000,20748000000,115929000000,93735000000,142649000000,258578000000,40201000000,,70400000000,107147000000,365725000000,,,
AAPL,111052,USD,2019,Q4,2019-09-30,2019-10-31,2020-07-31,18471336000,18595652000,100557000000,22926000000,4106000000,162819000000,37378000000,105341000000,32978000000,175697000000,338516000000,46236000000,16240000000,105718000000,91807000000,142310000000,248028000000,45174000000,,45898000000,90488000000,338516000000,,,
