 Ticker,SimFinId,Currency,  Fiscal Year  ,  Fiscal Period  ,  Report Date  ,  Publish Date  ,  Restated Date  ,  Shares (Basic)  ,  Shares (Diluted)  ,  Net Income/Starting Line  ,  Depreciation & Amortization  ,  Non-Cash Items  ,  Change in Working Capital  ,  Change in Accounts Receivable  ,  Change in Inventories  ,  Change in Accounts Payable  ,  Change in Other  ,  Net Cash from Operating Activities  ,  Change in Fixed Assets & Intangibles  ,  Net Change in Long Term Investment  ,  Net Cash from Acquisitions & Divestitures  ,  Net Cash from Investing Activities  ,  Dividends Paid  ,  Cash from (Repayment of) Debt  ,  Cash from (Repurchase of) Equity  ,  Net Cash from Financing Activities  ,  Net Change in Cash   
AAPL,111052,USD,2000,FY,2000-09-30,2000-12-21,2002-12-19,24208660000,24900176000,786000000,84000000,-194000000,192000000,,,,,868000000,-142000000,3215000000,,-972000000,,,-31000000,-31000000,-135000000
AAPL,111052,USD,2001,FY,2001-09-30,2001-11-11,2003-12-19,24208660000,24900176000,-25000000,100000000,-101000000,211000000,,,,,185000000,-232000000,5151000000,-19000000,892000000,,,42000000,42000000,1119000000
AAPL,111052,USD,2002,FY,2002-09-30,2002-12-19,2004-12-03,24208660000,24900176000,65000000,114000000,22000000,-112000000,,,,,89000000,-174000000,2871000000,-52000000,-252000000,,,105000000,105000000,-58000000
AAPL,111052,USD,2003,FY,2003-09-30,2003-12-19,2005-12-01,24208660000,24900176000,69000000,113000000,-11000000,119000000,,,,,290000000,-164000000,2491000000,,828000000,,,27000000,26000000,1144000000
AAPL,111052,USD,2004,FY,2004-09-30,2004-12-03,2006-12-29,24208660000,24900176000,266000000,150000000,150000000,368000000,,,,,934000000,-176000000,1141000000,,-1488000000,,-300000000,427000000,127000000,-427000000
AAPL,111052,USD,2005,FY,2005-09-30,2005-12-01,2007-11-15,24208660000,24900176000,1328000000,179000000,536000000,492000000,,,,,2535000000,-260000000,8609000000,,-2556000000,,,543000000,543000000,522000000
AAPL,111052,USD,2006,FY,2006-09-30,2006-12-29,2008-11-05,24208660000,24900176000,1989000000,225000000,231000000,-225000000,,,,,2220000000,-685000000,7201000000,,357000000,,,-37000000,324000000,2901000000
AAPL,111052,USD,2007,FY,2007-09-30,2007-11-15,2009-10-27,24208660000,24900176000,3496000000,317000000,329000000,1325000000,,,,,5467000000,-986000000,-2312000000,,-3249000000,,,365000000,742000000,2960000000
AAPL,111052,USD,2008,FY,2008-09-30,2008-11-05,2010-10-27,24684576000,25259892000,6119000000,496000000,936000000,2045000000,,,,,9596000000,-1199000000,-6760000000,-220000000,-8189000000,,,483000000,1116000000,2523000000
AAPL,111052,USD,2009,FY,2009-09-30,2009-10-25,2011-10-26,25004448000,25396140000,8235000000,734000000,1750000000,-560000000,,,,,10159000000,-1213000000,-16046000000,0,-17434000000,,,475000000,663000000,-6612000000
AAPL,111052,USD,2010,FY,2010-09-30,2010-10-27,2012-10-31,25464908000,25891936000,14013000000,1027000000,2319000000,1236000000,,,,,18595000000,-2121000000,-11075000000,-638000000,-13854000000,0,,912000000,1257000000,5998000000
AAPL,111052,USD,2011,FY,2011-09-30,2011-10-26,2013-10-30,25879224000,26226060000,25922000000,1814000000,4036000000,5757000000,,,,,37529000000,-7452000000,-32464000000,-244000000,-40419000000,0,0,831000000,1444000000,-1446000000
AAPL,111052,USD,2012,FY,2012-09-30,2012-10-31,2014-10-27,26174904000,26469932000,41733000000,3277000000,6145000000,-299000000,,,,,50856000000,-9402000000,-38427000000,-350000000,-48227000000,-2488000000,0,665000000,-1698000000,931000000
AAPL,111052,USD,2013,FY,2013-09-30,2013-10-30,2015-10-28,25909280000,26086536000,37037000000,6757000000,3394000000,6478000000,,,,,53666000000,-9076000000,-24042000000,-496000000,-33774000000,-10564000000,16896000000,-22330000000,-16379000000,3513000000
AAPL,111052,USD,2014,FY,2014-09-30,2014-10-27,2016-10-26,24342288000,24490652000,39510000000,7946000000,5210000000,7047000000,,,,,59713000000,-9813000000,-9017000000,-3775000000,-22579000000,-11126000000,18266000000,-44270000000,-37549000000,-415000000
AAPL,111052,USD,2015,FY,2015-09-30,2015-10-28,2017-11-03,23013684000,23172276000,53394000000,11257000000,4968000000,11647000000,,,,,81266000000,-11488000000,-44417000000,-343000000,-56274000000,-11561000000,29305000000,-34710000000,-17716000000,7276000000
AAPL,111052,USD,2016,FY,2016-09-30,2016-10-26,2018-11-05,21883280000,22001124000,45687000000,10505000000,9148000000,891000000,,,,,66231000000,-12734000000,-32022000000,-297000000,-45977000000,-12150000000,22057000000,-29227000000,-20890000000,-636000000
AAPL,111052,USD,2017,FY,2017-09-30,2017-11-03,2019-10-31,20868968000,21006768000,48351000000,10157000000,10806000000,-5089000000,,,,,64225000000,-12451000000,-33542000000,-329000000,-46446000000,-12769000000,29014000000,-32345000000,-17974000000,-195000000
AAPL,111052,USD,2018,FY,2018-09-30,2018-11-05,2019-10-31,19821508000,20000436000,59531000000,10903000000,-27250000000,34250000000,,,,,77434000000,-13313000000,30845000000,-721000000,16066000000,-13712000000,432000000,-72069000000,-87876000000,5624000000
AAPL,111052,USD,2019,FY,2019-09-30,2019-10-31,2019-10-31,18471336000,18595652000,55256000000,12547000000,5728000000,-4140000000,,,,,69391000000,-10495000000,58093000000,-624000000,45896000000,-14119000000,-7819000000,-66116000000,-90976000000,24311000000
