 Ticker,SimFinId,Date,Open,Low,High,Close,  Adj. Close  ,Dividend,Volume,  Shares Outstanding   
AAPL,111052,2007-01-03,3.08,2.92,3.09,2.99,2.58,,44225700,
AAPL,111052,2007-01-04,3.00,2.99,3.07,3.06,2.63,,30259300,
AAPL,111052,2007-01-05,3.06,3.01,3.08,3.04,2.62,,29812200,
AAPL,111052,2007-01-08,3.07,3.05,3.09,3.05,2.63,,28468100,
AAPL,111052,2007-01-09,3.09,3.04,3.32,3.31,2.85,,119617800,
AAPL,111052,2007-01-10,3.38,3.34,3.49,3.46,2.98,,105460000,
AAPL,111052,2007-01-11,3.43,3.40,3.46,3.42,2.95,,51437600,
AAPL,111052,2007-01-12,3.38,3.33,3.40,3.38,2.91,,46881800,
AAPL,111052,2007-01-16,3.42,3.41,3.47,3.47,2.99,,44431300,
AAPL,111052,2007-01-17,3.48,3.39,3.49,3.39,2.92,,58795000,
AAPL,111052,2007-01-18,3.29,3.18,3.29,3.18,2.74,,84450200,
AAPL,111052,2007-01-19,3.17,3.15,3.20,3.16,2.72,,48731200,
AAPL,111052,2007-01-22,3.18,3.06,3.18,3.10,2.67,,51929500,
AAPL,111052,2007-01-23,3.06,3.05,3.13,3.06,2.64,,43122300,
AAPL,111052,2007-01-24,3.10,3.07,3.11,3.10,2.67,,33136200,
AAPL,111052,2007-01-25,3.11,3.07,3.16,3.08,2.65,,32356200,
AAPL,111052,2007-01-26,3.11,3.04,3.12,3.05,2.63,,35245500,
AAPL,111052,2007-01-29,3.08,3.05,3.09,3.07,2.64,,32202300,
AAPL,111052,2007-01-30,3.09,3.04,3.09,3.06,2.63,,20641800,
AAPL,111052,2007-01-31,3.03,3.01,3.07,3.06,2.64,,30573900,
AAPL,111052,2007-02-01,3.08,3.03,3.08,3.03,2.61,,23726500,
AAPL,111052,2007-02-02,3.00,2.99,3.04,3.03,2.61,,22197500,
AAPL,111052,2007-02-05,3.01,3.00,3.04,3.00,2.58,,20673300,
AAPL,111052,2007-02-06,3.02,2.96,3.02,3.01,2.59,,30871200,
AAPL,111052,2007-02-07,3.02,2.98,3.08,3.08,2.65,,38100900,
AAPL,111052,2007-02-08,3.05,3.05,3.09,3.08,2.65,,24251100,
AAPL,111052,2007-02-09,3.07,2.97,3.08,2.97,2.56,,30733600,
AAPL,111052,2007-02-12,3.02,2.99,3.04,3.03,2.61,,25859700,
AAPL,111052,2007-02-13,3.04,3.01,3.05,3.02,2.61,,20749500,
AAPL,111052,2007-02-14,3.02,3.02,3.06,3.05,2.62,,18142200,
AAPL,111052,2007-02-15,3.05,3.03,3.06,3.04,2.62,,12987900,
AAPL,111052,2007-02-16,3.04,3.02,3.05,3.03,2.61,,14281000,
AAPL,111052,2007-02-20,3.02,3.01,3.08,3.07,2.64,,22060800,
AAPL,111052,2007-02-21,3.07,3.07,3.20,3.19,2.74,,41261200,
AAPL,111052,2007-02-22,3.24,3.16,3.24,3.20,2.75,,29936600,
AAPL,111052,2007-02-23,3.18,3.17,3.23,3.18,2.74,,18496200,
AAPL,111052,2007-02-26,3.21,3.13,3.21,3.17,2.73,,21994600,
AAPL,111052,2007-02-27,3.08,2.98,3.11,3.00,2.58,,40921900,
AAPL,111052,2007-02-28,2.96,2.96,3.06,3.02,2.60,,32838400,
AAPL,111052,2007-03-01,3.00,2.99,3.15,3.11,2.68,,50554600,
AAPL,111052,2007-03-02,3.10,3.04,3.13,3.05,2.63,,30714300,
AAPL,111052,2007-03-05,3.07,3.06,3.17,3.08,2.66,,29960700,
AAPL,111052,2007-03-06,3.14,3.12,3.15,3.15,2.71,,25828100,
AAPL,111052,2007-03-07,3.14,3.12,3.18,3.13,2.70,,22367300,
AAPL,111052,2007-03-08,3.16,3.12,3.17,3.14,2.71,,18250400,
